,index,id,question,A,B,C,D,answerKey,choice_type,exp,subject_name,topic_name,full_question,full_question_test,res_finetuned
469,469,3c0e960b-7757-45aa-a7e9-98c238eed3e7,Most common site of zygomatic arch fracture is:,Anterior to Zygomaticotemporal suture,Posterior to Zygomaticotemporal suture,Zygomaticotemporal suture,No specific location,B,single,"The zygomatic bone usually fractures in the region of the  zygomaticofrontal  suture, the  zygomaticotemporal suture and the zygomaticomaxillary suture. It is unusual for the zygomatic bone itself to be fractured, but in extreme violence, the bone may be comminuted or split across. Most common site of zygomatic arch fracture is posterior to Zygomaticotemporal suture.
The isolated zygomatic arch fracture may occur without displacement of the zygomatic bone.
Ref: Oral and maxillofacial surgery , Neelima Anil Malik 4th ed page no 534",Surgery,,,Question: Most common site of zygomatic arch fracture is: (A) Anterior to Zygomaticotemporal suture (B) Posterior to Zygomaticotemporal suture (C) Zygomaticotemporal suture (D) No specific location. The correct answer is  ," (B) Posterior to Zygomaticotemporal suture.
The zygomatic arch is a bony structure that forms the upper part of the eye socket. Fractures of the zygomatic arch are relatively common and can occur as a result of trauma, such as a blow to the face. The most common site of zygomatic arch fracture is posterior to the zygomaticotemporal suture, which is a suture that connects the zygomatic bone to the temporal bone. This is the answer choice (B).
The other options are not correct. Option (A) is incorrect because fractures of the zygomatic arch are not typically located anterior to the zygomaticotemporal suture. Option (C) is incorrect because the zygomaticotemporal suture is not a fracture site. Option (D) is incorrect because there is no specific location of zygomatic arch fracture."
470,470,da743fb8-1db4-4fee-9e20-351d78dc60c9,"Presented edema, oliguria and frothy urine. He has no past history of similar complaints. On examination, his urine was positive for 3+ proteinuria, no RBCs/WBCs and no casts. His serum albumin was 2.5 gm/L and serum creatinine was 0.5 mg/dL. The most likely diagnosis is:",Minimal change disease,IgA nephropathy,Interstitial nephritis,Membranous nephropathy,A,single,"Ans: A.Minimal change disease(Ref Harrison 19/e p184, 18/2345)Most likely diagnosis - Minimal change disease.Minimal Change Disease:Peak age of onset = Between 6-8 years of age (usually <10 years)Type of onset = InsidiousTypical presentation = Nephrotic syndromeHallmark of Nephrotic syndrome =Peripheral edema.Occurs when serum albumin levels < 3 gm/dlLaboratory findings = Proteinuria & hypoalbuminemia.",Pediatrics,,,"Question: Presented edema, oliguria and frothy urine. He has no past history of similar complaints. On examination, his urine was positive for 3+ proteinuria, no RBCs/WBCs and no casts. His serum albumin was 2.5 gm/L and serum creatinine was 0.5 mg/dL. The most likely diagnosis is: (A) Minimal change disease (B) IgA nephropathy (C) Interstitial nephritis (D) Membranous nephropathy. The correct answer is  "," (A) Minimal change disease.
Answer: (A) Minimal change disease.
Rationale: Minimal change disease is the most likely diagnosis based on the patient's symptoms and laboratory findings. The patient presents with edema, oliguria, and frothy urine, which are consistent with nephrotic syndrome. The absence of RBCs, WBCs, and casts in the urine suggests that the disease is not caused by an infection or inflammation. The low serum albumin and high serum creatinine levels are also consistent with minimal change disease, as these proteins are normally produced in the kidneys and their levels can be affected in cases of nephrotic syndrome. IgA nephropathy, interstitial nephritis, and membranous nephropathy are less likely diagnoses based on the patient's presentation and laboratory findings."
471,471,afb560a9-453f-43f9-b0d8-8e54519d46a6,Pre-maxillary hard palate is supplied by which nerve,Nasopalatine nerve,Pharyngeal branch of glossopharyngeal nerve,Greater palatine nerve,Tensor palatine nerve,A,single,,Anatomy,,,Question: Pre-maxillary hard palate is supplied by which nerve (A) Nasopalatine nerve (B) Pharyngeal branch of glossopharyngeal nerve (C) Greater palatine nerve (D) Tensor palatine nerve. The correct answer is  ,"

Answer: (B) Pharyngeal branch of glossopharyngeal nerve.

Explanation:
The pre-maxillary hard palate is innervated by the pharyngeal branch of the glossopharyngeal nerve. This nerve originates from the glossopharyngeal nerve and supplies the palatal mucosa of the pre-maxillary hard palate.
Option (A) Nasopalatine nerve is incorrect because the nasopalatine nerve does not innervate the pre-maxillary hard palate.
Option (C) Greater palatine nerve is incorrect because the greater palatine nerve does not innervate the pre-maxillary hard palate.
Option (D) Tensor palatine nerve is incorrect because the tensor palatine nerve is a branch of the maxillofacial nerve, not the glossopharyngeal nerve."
472,472,a00d1b4b-621b-4804-aecc-0ca0a8f6e941,Buccopharyngeal membrane is composed of:,Ectoderm.,Endoderm.,Mesoderm,Both AB,D,multi,,Anatomy,,,Question: Buccopharyngeal membrane is composed of: (A) Ectoderm. (B) Endoderm. (C) Mesoderm (D) Both AB. The correct answer is  ," (D) Both A and B. The buccopharyngeal membrane is a structure that separates the oral cavity from the pharynx. It is composed of epithelial tissue from both the ectoderm and endoderm. Therefore, the correct answer is (D) Both A and B."
473,473,7655a989-3ec8-4f83-a2ea-a1a2527d483e,"The radiographic examination of a traumatized tooth is
essential -",To establish baseline data,To find associated root fracture,To determine stage of root development,All of the above,D,multi,,Dental,,,"Question: The radiographic examination of a traumatized tooth is
essential - (A) To establish baseline data (B) To find associated root fracture (C) To determine stage of root development (D) All of the above. The correct answer is  "," (D) All of the above.
Explanation:
A radiographic examination of a traumatized tooth is essential to establish baseline data, find associated root fracture, determine the stage of root development, and to monitor the progression of the injury.
Establishing baseline data is important to have a reference point for comparison in the future, in case of any further trauma or disease.
Finding associated root fracture is important to determine the extent of the injury and to plan the appropriate treatment.
Determining the stage of root development is important to assess the maturity of the tooth and to plan the appropriate treatment.
Monitoring the progression of the injury is important to assess the effectiveness of the treatment and to make any necessary adjustments.
Therefore, the answer is (D) All of the above."
474,474,0cd0e1c4-aabe-4ac3-ae2b-83b0633cb376,A person on fat free carbohydrate rich diet continues to grow obese. Which of the following lipoproteins is likely to be elevated in his blood?,Chylomicron,VLDL,HDL,LDL,B,single,"As VLDL is the main transporter of endogenous triglycerides; all the conditions causing increased endogenous triglyceride synthesis will also increase VLDL secretion. And these are:-

Well fed state (not starved).
High level of circulating free fatty acids.
Carbohydrate rich diet (especially sucrose and fructose)
Present of high level of insulin and low level of glycogen.
Ethanol (alcohol) ingestion.

Key Concept:",Biochemistry,,,Question: A person on fat free carbohydrate rich diet continues to grow obese. Which of the following lipoproteins is likely to be elevated in his blood? (A) Chylomicron (B) VLDL (C) HDL (D) LDL. The correct answer is  ," (E) None of the above.
Explanation: A fat-free carbohydrate-rich diet is unlikely to lead to elevated LDL cholesterol levels, as the diet is low in saturated and trans fats, which are known to contribute to LDL elevation. Additionally, a diet high in refined carbohydrates can lead to increased insulin resistance and inflammation, which can also contribute to weight gain and obesity.
Therefore, the correct answer is (E) None of the above. Chylomicrons, VLDL, and HDL are all involved in the transportation of triglycerides in the bloodstream, but they are not directly related to weight gain or obesity."
475,475,d89b269b-52d2-4f8a-b9b3-9e5727a05aea,"An 8 year old boy complaints of increasing muscle weakness. On examination, his calves are bulky and show muscle tightening. His serum creatine kinase levels are increasing with age. Which of the following is the most likely diagnosis?",Hereditary sensorimotor neuropathy,Myelin deficiency,Dystrophin deficiency,Congenital myopathy,C,single,Answer- C. Dystrophin deficiencyMost likely diagnosis is duchenne Muscular Dystrophy due to Dystrophin deficiency.,Pediatrics,,,"Question: An 8 year old boy complaints of increasing muscle weakness. On examination, his calves are bulky and show muscle tightening. His serum creatine kinase levels are increasing with age. Which of the following is the most likely diagnosis? (A) Hereditary sensorimotor neuropathy (B) Myelin deficiency (C) Dystrophin deficiency (D) Congenital myopathy. The correct answer is  ","

Answer: The most likely diagnosis for an 8-year-old boy who complains of increasing muscle weakness, with examination findings of bulky calf muscles and increasing serum creatine kinase levels, is dystrophin deficiency.
Dystrophin deficiency is a genetic disorder that affects the structure and function of muscle fibers, leading to progressive muscle weakness and wasting. The symptoms typically begin in childhood and progress slowly over time. The bulky calf muscles and increasing serum creatine kinase levels are consistent with this diagnosis.
Hereditary sensorimotor neuropathy is a group of disorders that affect the peripheral nervous system and cause muscle weakness, sensory loss, and other symptoms. While this diagnosis could be considered, it is less likely given the age of onset and the specific examination findings.
Myelin deficiency refers to a group of disorders that affect the myelin sheath, which insulates and protects nerve fibers. While this can cause muscle weakness and other symptoms, it is less likely to cause the specific findings seen in this patient.
Congenital myopathy is a group of disorders that affect muscle development and function from birth. While this could be a possible diagnosis, it is less likely given the age of onset and the progression of symptoms.
In summary, based on the patient's symptoms and examination findings, the most likely diagnosis is dystrophin deficiency."
476,476,3737f19a-3e69-4ae5-a378-5e91b942cec4,Thirty-eight children consumed eatables procured from a single source at a picnic party. Twenty children developed abdominal cramps followed by vomiting and watery diarrhea 6-10 hours after the party. The most likely etiology for the outbreak is:,Rotavirus infection,Enterotoxigenic E.coli infection,Staphylococcal toxin,Clostridium perfringens infection,D,single,,Medicine,,,Question: Thirty-eight children consumed eatables procured from a single source at a picnic party. Twenty children developed abdominal cramps followed by vomiting and watery diarrhea 6-10 hours after the party. The most likely etiology for the outbreak is: (A) Rotavirus infection (B) Enterotoxigenic E.coli infection (C) Staphylococcal toxin (D) Clostridium perfringens infection. The correct answer is  ," (A) Rotavirus infection.
Explanation:
Rotavirus is a common cause of gastroenteritis in children, and it is often associated with outbreaks in childcare settings. The symptoms described in the question, including abdominal cramps, vomiting, and watery diarrhea, are all consistent with rotavirus infection. The fact that 38 children consumed eatables from a single source at a picnic party increases the likelihood that the outbreak was caused by rotavirus, as it provides a common source of infection for all the children.
Option (B) Enterotoxigenic E. coli infection is also a possible cause of gastroenteritis, but it is less likely to be the cause of the outbreak described in the question. Enterotoxigenic E. coli infection typically causes diarrhea and abdominal cramps, but it is less likely to cause vomiting.
Option (C) Staphylococcal toxin is not a common cause of gastroenteritis in children, and it is unlikely to be the cause of an outbreak in a childcare setting.
Option (D) Clostridium perfringens infection is also unlikely to be the cause of the outbreak described in the question, as it typically causes diarrhea and abdominal cramps, but not vomiting.
Therefore, the most likely etiology for the outbreak is rotavirus infection."
477,477,44b7c270-47c9-4f1a-9414-5ebedefd7f0e,Indirect retention is designed to,Stabilize tooth borne RPD,Engage an undercut area of the abutment tooth,Resist tissue ward movement of an extension base partial denture,Resist dislodgement of an extension base partial denture in occlusal direction,D,single,,Dental,,,Question: Indirect retention is designed to (A) Stabilize tooth borne RPD (B) Engage an undercut area of the abutment tooth (C) Resist tissue ward movement of an extension base partial denture (D) Resist dislodgement of an extension base partial denture in occlusal direction. The correct answer is  ," (C) Resist tissue ward movement of an extension base partial denture.
Indirect retention is a type of retention used in dentistry to secure a dental appliance, such as a partial denture, in place. Indirect retention is designed to resist tissue ward movement of an extension base partial denture, which means that it is designed to keep the denture from moving forward in the mouth as a result of the forces exerted by the surrounding tissues. This type of retention is typically achieved through the use of attachments or other devices that are attached to the denture and the surrounding teeth or tissues."
478,478,2c00fc07-1a54-4b6f-b7a0-a3d2f3e4bf53,You have performed a pleural tap in a patient with suspected TB. You will send the sample for all of the following studies except:,Gene Xpe,ADA,LDH,Albumin,D,multi,Ans: D. Albumin(Ref: Harrison 19/c p1715-1716)The most impoant diagnostic tests in pleural fluid specimen in a patient with suspected TB are GeneXpe (PCR) and ADA levels.Total protein levels and LDH levels are required to differentiate between transudative and exudative effusion according to Light's Criteria.So doing a pleural fluid albumin level separately will not be very useful.Total protein estimation should be done instead.,Medicine,,,Question: You have performed a pleural tap in a patient with suspected TB. You will send the sample for all of the following studies except: (A) Gene Xpe (B) ADA (C) LDH (D) Albumin. The correct answer is  ," (A) Gene Xpe.
Explanation:
A pleural tap is a diagnostic procedure used to collect fluid from the pleural space, which is the space between the lungs and the chest wall. The fluid sample is sent for various studies to help diagnose and manage pleural effusion, which is the accumulation of fluid in the pleural space.
Gene Xpe is a gene that is not typically tested for in a pleural tap. The other options, ADA, LDH, and albumin, are commonly tested in a pleural tap to help diagnose and manage pleural effusion.
ADA (alkaline phosphatase) is an enzyme that is present in the pleural fluid and can be elevated in pleural effusion.
LDH (lactate dehydrogenase) is an enzyme that is present in the blood and can leak into the pleural fluid, especially in cases of trauma or sepsis.
Albumin is a protein that is present in the blood and can be decreased in pleural effusion.
Therefore, the correct answer is (A) Gene Xpe."
479,479,c0bb2d77-4a90-410c-a7c3-2398f59e3b81,A 45 years old female presented with a history of pain!less breast lump of size 6 x 5 cm in left upper quadrant with no axillary lymph nodes. A true-cut biopsy was suggestive of ductal carcinoma in situ. She undergoes surgery with resection of all tumor tissue with adequate margins and postoperative HPE showing DCIS with high grade necrosis with 4 mm clearance on margins. Which of the following is needed?,Adjuvant chemotherapy,Adjuvant chemoradiotherapy,Adjuvant radiotherapy,No additional treatment,C,multi,"Answer- C. Adjuvant radiotherapyIn this case, patient is 45 years old (Score 2) with size 5 cm (Score 3), margin of 4 mm (Score 2), necrotic features withouthigh grade (Score 2), the total score is 9. Usually for score 7-9, if local excision is done radiotherapy should be given,If simple mastectomy is done, there is no need of adjuvant trcatment In this patient next best step would be adjuvant radiotherapy.DCIS is predominantly seen in the female breast (accounts for 5% of male breast cancers)DCIS carries a high risk for progression to an invasive cancer.DCIS is classified on the basis of nuclear grade & presence of necrosis",Surgery,,,Question: A 45 years old female presented with a history of pain!less breast lump of size 6 x 5 cm in left upper quadrant with no axillary lymph nodes. A true-cut biopsy was suggestive of ductal carcinoma in situ. She undergoes surgery with resection of all tumor tissue with adequate margins and postoperative HPE showing DCIS with high grade necrosis with 4 mm clearance on margins. Which of the following is needed? (A) Adjuvant chemotherapy (B) Adjuvant chemoradiotherapy (C) Adjuvant radiotherapy (D) No additional treatment. The correct answer is  ,"

Answer: (A) Adjuvant chemotherapy.

Rationale:

Ductal carcinoma in situ (DCIS) is a type of breast cancer that is confined to the milk ducts and has not invaded the surrounding tissue. High-grade necrosis is a feature of DCIS that is associated with a higher risk of recurrence. Adjuvant chemotherapy is recommended for women with DCIS to reduce the risk of recurrence and improve survival outcomes.
The choice of chemotherapy regimen depends on the size of the tumor, the grade of the necrosis, and the patient's overall health status. In this case, the patient had a large tumor with high-grade necrosis, which is associated with a higher risk of recurrence. Therefore, adjuvant chemotherapy is the most appropriate choice to reduce the risk of recurrence and improve survival outcomes.
Adjuvant chemoradiotherapy may also be considered for some patients with DCIS, particularly those with larger tumors or those with positive margins. However, the evidence for this approach is less robust than for adjuvant chemotherapy, and the potential risks and side effects of combined modality treatment should be carefully considered.
Adjuvant radiotherapy is not recommended for DCIS, as it has not been shown to improve survival outcomes in this setting.

















































































































































































































































































































































































































































































































































"
480,480,6533b64b-cf1f-434d-98a4-7b9a6a5ded3b,"The upper denture falls when the patient opens his
mouth wide. This is due to:",Thick labial flange,Over-extended borders,Thick disto-buccal flange,Poor peripheral seal,C,multi,,Dental,,,"Question: The upper denture falls when the patient opens his
mouth wide. This is due to: (A) Thick labial flange (B) Over-extended borders (C) Thick disto-buccal flange (D) Poor peripheral seal. The correct answer is  ","

Answer: (D) Poor peripheral seal.

Explanation: When the patient opens his mouth wide, the upper denture may fall due to a poor peripheral seal. This is because the denture does not fit snugly around the sides of the mouth, allowing it to shift or fall out of place. This can be caused by a variety of factors, including a poorly fitting denture base, inadequate denture adhesive, or a lack of proper denture maintenance. To address this issue, the dentist may need to adjust the denture base or add additional denture adhesive to improve the peripheral seal."
481,481,6b5b69d0-83bf-4cd0-bb15-8f99cc9ea3d7,Which of the following hormones increases the sensitivity of heart to epinephrine:,Parathyroid,Insulin,Thyroid,Glucagon,C,single,,Physiology,,,Question: Which of the following hormones increases the sensitivity of heart to epinephrine: (A) Parathyroid (B) Insulin (C) Thyroid (D) Glucagon. The correct answer is  ," (B) Insulin.


Answer: The correct answer is (B) Insulin.

Insulin is a hormone produced by the pancreas that plays a crucial role in regulating glucose metabolism. One of its functions is to increase the sensitivity of the heart to epinephrine, also known as adrenaline. This means that when epinephrine is present in the body, insulin can enhance the heart's response to it, leading to increased heart rate and contractility.
On the other hand, parathyroid hormone (A) is involved in regulating calcium levels in the blood, while thyroid hormone (C) plays a role in regulating metabolism. Glucagon (D) is a hormone produced by the pancreas that raises blood glucose levels by stimulating the liver to release stored glucose. However, it does not increase the sensitivity of the heart to epinephrine."
482,482,72df8357-4e51-45f7-ae9d-669a9bfe9efc,Lidocaine produces its antiarrhythmic effects by,Increasing A-V conduction,Decreasing cardiac excitability,Increasing cardiac conduction velocity,Increasing spontaneous pacemaker activity,B,single,,Pharmacology,,,Question: Lidocaine produces its antiarrhythmic effects by (A) Increasing A-V conduction (B) Decreasing cardiac excitability (C) Increasing cardiac conduction velocity (D) Increasing spontaneous pacemaker activity. The correct answer is  ," (B) Decreasing cardiac excitability. Lidocaine is a local anesthetic that has antiarrhythmic properties, meaning it can help to control or prevent irregular heartbeats. One way it does this is by decreasing the excitability of the heart muscle cells, which makes it less likely for abnormal electrical signals to cause irregular heartbeats."
483,483,b90144a7-74cd-40fc-9634-b3a00530cb0c,The cortex of lymph node contains:,Cords of billroth,Hassall's corpuscles,Lymphatic nodules,White pulp,C,multi,"The cortex of lymph node contains lymphatic nodules.
Lymph node consists of 3 parts, i.e.:

Capsule
Cortex
Medulla",Anatomy,,,Question: The cortex of lymph node contains: (A) Cords of billroth (B) Hassall's corpuscles (C) Lymphatic nodules (D) White pulp. The correct answer is  ," (B) Hassall's corpuscles.
Hassall's corpuscles are small, round structures located in the cortex of lymph nodes. They are composed of a collection of lymphocytes, and are involved in the immune response. They are named after the British pathologist Thomas Hassall, who first described them in the late 19th century.
Cords of Billroth are not found in the cortex of lymph nodes. They are actually found in the medulla of lymph nodes, and are composed of a collection of B cells.
Lymphatic nodules are not found in the cortex of lymph nodes. They are actually found in the medulla of lymph nodes, and are composed of a collection of lymphocytes.
White pulp is not found in the cortex of lymph nodes. It is actually found in the spleen, and is composed of a collection of lymphocytes.
So, the correct answer is (B) Hassall's corpuscles."
484,484,65639a35-9603-40ce-9584-aaf1f53c71d4,A patient with history of coronary aery disease presents with pulse rate of 48/min and low BP. Patient has decreased myocardial contractility on Echo. Which of these anesthetic agents is contraindicated?,Fentanyl,Etomidate,Ketamine,Dexmedetomidine,D,single,"Ans: D. Dexmedetomidine(Ref KDT 7/e p384; Katzung 13/e p I 45, 12/e p445)This case patient has bradycardia & hypotension.Hence, Dexmedetomidine is contraindicated in hypovolemia, hypotension, hea block and congestive hea failure.Dexmedetomidine - Side effects:Similar to those with clonidine (hypotension, bradycardia & dry mouth ).Contraindications:Hypovolemia.HypotensionHea block.CHF prior to administration.",Anaesthesia,,,Question: A patient with history of coronary aery disease presents with pulse rate of 48/min and low BP. Patient has decreased myocardial contractility on Echo. Which of these anesthetic agents is contraindicated? (A) Fentanyl (B) Etomidate (C) Ketamine (D) Dexmedetomidine. The correct answer is  ,"

Answer: (B) Etomidate.

Rationale: Etomidate is a sedative-hypnotic that can cause negative inotropic effects, which can further decrease myocardial contractility in patients with pre-existing coronary artery disease. The use of etomidate in these patients can lead to a significant increase in the risk of cardiovascular complications, including hypotension, bradycardia, and cardiac arrest. Therefore, etomidate is contraindicated in patients with a history of coronary artery disease and decreased myocardial contractility on echo.
Fentanyl, ketamine, and dexmedetomidine are not contraindicated in patients with coronary artery disease and decreased myocardial contractility on echo. Fentanyl is an opioid that can cause hypotension and bradycardia, but it does not have the same negative inotropic effects as etomidate. Ketamine can cause cardiovascular effects, including hypotension and tachycardia, but it does not have the same negative inotropic effects as etomidate. Dexmedetomidine is a sedative-hypnotic that can cause hypotension and bradycardia, but it does not have the same negative inotropic effects as etomidate."
485,485,2d331aa6-39b9-4d4b-b065-fc3f03e7331c,LA acts on nerve membrane by:,Blocking conductance of Na+ from interior to exterior,Blocking conductance of Na+ from exterior to interior,Blocking conductance of K+ from interior to exterior,Blocking conductance of K+ from exterior to interior,B,single,,Surgery,,,Question: LA acts on nerve membrane by: (A) Blocking conductance of Na+ from interior to exterior (B) Blocking conductance of Na+ from exterior to interior (C) Blocking conductance of K+ from interior to exterior (D) Blocking conductance of K+ from exterior to interior. The correct answer is  ," (B) Blocking conductance of Na+ from exterior to interior.
Explanation:
The action of LA (latrunculin A) on nerve membranes is to block the conductance of Na+ ions from the exterior to the interior. This is because LA binds to the Na+ channels in the nerve membrane, blocking the flow of Na+ ions and thereby reducing the excitability of the nerve. This is the mechanism by which LA acts as a local anesthetic, blocking the transmission of nerve impulses and producing numbness or anesthesia.
Option (A) is incorrect because LA does not block the conductance of Na+ from the interior to the exterior.
Option (C) is incorrect because LA does not block the conductance of K+ ions from the interior to the exterior.
Option (D) is incorrect because LA does not block the conductance of K+ ions from the exterior to the interior."
486,486,5682860b-5ef4-4c1d-88b4-eb81546548ba,"Kamlesh, a 2 year old girl, has Down's syndrome. Her karyotype is 21/21 translocation. What is the risk ofrecurrence in subsequent pregnancies if the father is a balanced translocation carrier :",100%,50%,25%,0%,A,single,"Down Syndrome– (Trisomy 21)

Seen in 11n 800 to 1000 newborns
M/C Nonlethal trisomy
Risk of Down syndrome increases with increase in maternal age
At maternal age of 35 years, the risk of having a baby with Down syndrome is 1:365. to 1:400.

Recurrent Risk of Down’s syndrome",Gynaecology & Obstetrics,,,"Question: Kamlesh, a 2 year old girl, has Down's syndrome. Her karyotype is 21/21 translocation. What is the risk ofrecurrence in subsequent pregnancies if the father is a balanced translocation carrier : (A) 100% (B) 50% (C) 25% (D) 0%. The correct answer is  "," (B) 50%.

"
487,487,d9ed2e31-f28c-470c-a0f1-38749131b723,All the following features of skull of a newborn are true except:,Diploe not formed,Styloid process has not fused with rest of temporal bone,Anterior fontanelle open,Mastoid process is of adult size,D,multi,"Features of foetal skull:

Large skull / calvaria. 
No diploe, which appears by 4th year of life.
Prominent frontal and parietal protuberance.
Presence of metopic suture between 2 halves of frontal bone.
Presence of unossified 6 fontanelles at angles of parietal bones.
Non fusion of styloid process with rest of temporal bone.
Mastoid process is absent, which appears by 2nd year of life.
Paranasal air sinuses are rudimentary/absent.
Internal ear, tympanic cavity, tympanic antrum and ear ossicles are of adult size.",Anatomy,,,Question: All the following features of skull of a newborn are true except: (A) Diploe not formed (B) Styloid process has not fused with rest of temporal bone (C) Anterior fontanelle open (D) Mastoid process is of adult size. The correct answer is  ,"

Answer: The correct answer is (C) Anterior fontanelle open.

Explanation:

The other options are all true features of a newborn's skull:

* (A) Diploe not formed: The diploe is a thin, cartilaginous structure that separates the two hemispheres of the brain in a newborn. It is not fully formed at birth and takes several months to fuse together.
* (B) Styloid process has not fused with rest of temporal bone: The styloid process is a small bony projection that forms part of the temporal bone in the skull. In newborns, this process is not yet fused with the rest of the temporal bone.
* (D) Mastoid process is of adult size: The mastoid process is a bony projection on the temporal bone that houses the ear. In newborns, the mastoid process is much smaller than it is in adults.

Only the option (C) Anterior fontanelle open is incorrect. The anterior fontanelle is a soft spot on the top of a newborn's skull that is open at birth. It closes around 18-20 months of age as the bones of the skull fuse together."
488,488,620affae-3d54-4be1-b18c-5b2c89d3332d,Which of the following is developed from the 1st arch:,Stylohyoid ligament.,Spenomandibular ligament.,Stapes.,Styloid process.,B,single,,Anatomy,,,Question: Which of the following is developed from the 1st arch: (A) Stylohyoid ligament. (B) Spenomandibular ligament. (C) Stapes. (D) Styloid process.. The correct answer is  , (B) Spenomandibular ligament. The spenomandibular ligament is a fibrous band that connects the medial surface of the mandible to the lateral surface of the petrous bone of the skull. It helps to stabilize the mandible and maintain the position of the articulation of the jaw.
489,489,c18807a9-ccf8-40f5-8b11-9e2c8b789c3e,"A middle-aged woman came to OPD with a twin pregnancy. She already had 2 first trimester aboion and she has a 3 years old female child who was born at the end of ninth month of gestation. Which of the following is her accurate representation? C = gravid, P = para?",G4P1 1+2+1,G4P1 0+1+2,G5P1 2+0+1,G5P0 1+0+2,B,single,"Answer- B. G4P1 0+1+2The nomenclature for this question is bused on a system called GTPAL systemGravida and parity: Gravida denotes o pregnant state both present and past, irrespective of the period of gestation.Parity denotes a state of previous pregnancy beyond the period of bility",Gynaecology & Obstetrics,,,"Question: A middle-aged woman came to OPD with a twin pregnancy. She already had 2 first trimester aboion and she has a 3 years old female child who was born at the end of ninth month of gestation. Which of the following is her accurate representation? C = gravid, P = para? (A) G4P1 1+2+1 (B) G4P1 0+1+2 (C) G5P1 2+0+1 (D) G5P0 1+0+2. The correct answer is  "," (B) G4P1 0+1+2.

Answer: The correct answer is (B) G4P1 0+1+2.
Explanation:
The woman is a middle-aged woman with a twin pregnancy, which means she is in her 4th month of pregnancy (G4). She already had 2 first trimester abortions, which means she has had a total of 3 pregnancies (P1). The 3-year-old child she has is a female, who was born at the end of the 9th month of gestation (3 months before the due date), which means the child was born at 37 weeks of gestation (0+1+2).
Therefore, the accurate representation of the woman's situation is:
G4P1 0+1+2."
490,490,65085eb7-8614-4c6a-b1e2-732511920f37,The two roots of auriculotemporal nerve encircles which structure,Superficial temporal vein,Superficial temporal artery,Anterior tympanic artery,Middle meningeal artery,D,single,,Anatomy,,,Question: The two roots of auriculotemporal nerve encircles which structure (A) Superficial temporal vein (B) Superficial temporal artery (C) Anterior tympanic artery (D) Middle meningeal artery. The correct answer is  ," (B) Superficial temporal artery.

Answer: The two roots of the auriculotemporal nerve encircle the superficial temporal artery. Therefore, the correct answer is (B) Superficial temporal artery."
491,491,0e46082c-1abc-4330-a12d-6948554559a2,The cells which will proliferate from top to bottom of villi are:,Chief cells,Goblet cells,Paneth cells,Parietal cells,C,single,"Paneth cells or zymogen cells are found only in the deeper parts of the intestinal crypts.
 They contain prominent eosinophilic secretory granules.
 They also contain high amount of zinc.
 They are known to produce lysozyme, defensins and TNF alpha that destroy bacteria.
 They exceptionally migrate towards the base of the crypts of Lieberkuhn instead of going toward the villi",Anatomy,,,Question: The cells which will proliferate from top to bottom of villi are: (A) Chief cells (B) Goblet cells (C) Paneth cells (D) Parietal cells. The correct answer is  ," (B) Goblet cells.
Explanation:
Villi are finger-like projections found in the small intestine that increase the surface area for absorption of nutrients. The cells that proliferate from top to bottom of villi are Goblet cells. These cells produce mucus, which helps to lubricate the small intestine and facilitate the movement of food through the digestive system.
Chief cells (A) are found in the stomach and produce gastric juice, which helps to digest food.
Goblet cells (B) are found in the small intestine and produce mucus.
Paneth cells (C) are found in the small intestine and produce digestive enzymes.
Parietal cells (D) are found in the stomach and produce hydrochloric acid and digestive enzymes.
So, the correct answer is (B) Goblet cells."
492,492,3f1c84b8-4b70-4567-9d61-a49714ffb200,What is the most common sequelae of traumatic shoulder dislocation in young adults?,Rotator cuff tear,Recurrent shoulder dislocation,Adhesive capsulitis,Subscapular tendinitis,B,single,"Answer-B. Recurrent shoulder dislocationMost common sequelae of traumatic shoulder dislocation in young adults are recurrent shoulder dislocation. Anteriortlislocation Type I is the most common type of traumutic shoulder dislocation and its mosl common sequelae in youngadults is recurent dislocation in around 1/3rd patients. In fact, more than 9094 patients < 20 years have some shoulderinstability as sequelae.",Surgery,,,Question: What is the most common sequelae of traumatic shoulder dislocation in young adults? (A) Rotator cuff tear (B) Recurrent shoulder dislocation (C) Adhesive capsulitis (D) Subscapular tendinitis. The correct answer is  ," (C) Adhesive capsulitis.
Adhesive capsulitis, also known as frozen shoulder, is a common sequelae of traumatic shoulder dislocation in young adults. It is characterized by stiffness and limited mobility in the shoulder joint, usually occurring after a shoulder dislocation or injury. The condition is caused by inflammation and scarring of the connective tissue surrounding the shoulder joint, leading to contracture and loss of range of motion. Adhesive capsulitis can be a significant source of pain and disability in young adults, and may require surgical intervention to restore shoulder function."
